GEOID_tract,total_comp_cost,nonmotorist_comp_cost,GEOID_county,tract_name,pct_nonmotorist_cost,is_baltimore_city
24039930600,32225826.779999997,16021758.06,24039,Census Tract 9306,49.71713579104642,False
24510151300,65075584.14,32258433.06,24510,Census Tract 1513,49.570716093152534,True
24510271002,79350489.53999999,39276688.5,24510,Census Tract 2710.02,49.497726766009315,True
24033800210,11697545.16,5784602.039999999,24033,Census Tract 8002.10,49.4514187453669,False
24005400702,30336550.02,14958415.08,24005,Census Tract 4007.02,49.308227435678596,False
24510190200,24852721.32,12236030.1,24510,Census Tract 1902,49.23416611988147,True
24005420200,62958711.06,30992241.419999998,24005,Census Tract 4202,49.226295929826485,False
24033980000,74299228.92,36541315.44,24033,Census Tract 9800,49.1812848816305,False
24510270402,42713202.419999994,20995977.24,24510,Census Tract 2704.02,49.15570842370007,True
24510271802,34045198.74,16735130.999999998,24510,Census Tract 2718.02,49.15562728185148,True
24510250401,125982318.42,61759930.68,24510,Census Tract 2504.01,49.022697355119845,True
24005420402,38748132.36,18977560.56,24005,Census Tract 4204.02,48.97671037066726,False
24005490703,69815944.8,34154828.82,24005,Census Tract 4907.03,48.92124416255125,False
24510130600,21395731.139999997,10428048.54,24510,Census Tract 1306,48.73892119771701,True
24021740200,42432101.46,20641068.0,24021,Census Tract 7402,48.64493458910578,False
24033801809,43086202.739999995,20952271.619999997,24033,Census Tract 8018.09,48.62872633830066,False
24033807410,11035964.52,5350154.039999999,24033,Census Tract 8074.10,48.47926096812061,False
24033802901,45393828.48,21966440.58,24033,Census Tract 8029.01,48.390808432644455,False
24510110200,125114327.1,60479727.839999996,24510,Census Tract 1102,48.339570089091744,True
24510070300,27493929.54,13281001.02,24510,Census Tract 703,48.30521224940915,True
24031704804,27124724.34,13044946.319999998,24031,Census Tract 7048.04,48.09245674347007,False
24005430800,39363632.28,18840958.92,24005,Census Tract 4308,47.86387289155929,False
24033803300,85084677.72,40406121.0,24033,Census Tract 8033,47.4893036945736,False
